3D-rrbc, Ra:1.00e+05, Ek:1.00e-01, Nz:32, Ny:32, Nx:32, Pr:7.0, 
time	Re	Nu-top	Nu-bottom	Nu-midplane	Nu-integral	umax	vmax	wmax	buoyancy	dissip	energy-balance	nu-error	D_visc	thermal_dissipation	
1.0000e-05	0.0000e+00	6.5034e-04	-3.7573e-03	6.4971e-05	-3.3469e-06	0.0000e+00	0.0000e+00	0.0000e+00	-3.3469e-01	-0.0000e+00	  inf	1.1216e+03	1.2073e-04	0.0000e+00	
1.1000e-04	1.7199e-04	-4.9460e-04	4.9527e-04	3.9782e-05	4.2194e-08	1.7814e-03	1.6818e-03	4.4538e-03	4.2194e-03	3.6681e-03	1.5028e-01	1.1737e+04	1.1683e-05	3.6688e-03	
2.1000e-04	2.0300e-04	-3.9132e-04	3.4408e-04	2.0636e-05	3.1479e-08	2.0430e-03	2.1435e-03	4.9767e-03	3.1479e-03	2.8358e-03	1.1008e-01	1.2432e+04	3.3280e-06	2.8359e-03	
3.1000e-04	2.2059e-04	-2.6355e-04	2.3294e-04	9.5792e-06	2.5622e-08	2.2097e-03	2.3106e-03	5.5567e-03	2.5622e-03	2.3407e-03	9.4620e-02	1.0287e+04	1.3706e-06	2.3408e-03	
4.1000e-04	2.3298e-04	-1.6924e-04	1.6158e-04	3.7047e-06	2.2004e-08	2.3509e-03	2.3266e-03	5.9998e-03	2.2004e-03	2.0228e-03	8.7767e-02	7.6924e+03	7.0487e-07	2.0229e-03	
5.1000e-04	2.4290e-04	-1.0645e-04	1.1574e-04	7.3878e-07	1.9550e-08	2.4569e-03	2.2809e-03	6.3287e-03	1.9550e-03	1.7986e-03	8.6963e-02	5.9192e+03	4.1681e-07	1.7986e-03	
6.1000e-04	2.5162e-04	-6.5973e-05	8.5964e-05	-6.6881e-07	1.7796e-08	2.5347e-03	2.2098e-03	6.5824e-03	1.7796e-03	1.6319e-03	9.0546e-02	4.8294e+03	2.7069e-07	1.6319e-03	
7.1000e-04	2.5977e-04	-4.0096e-05	6.6303e-05	-1.2682e-06	1.6508e-08	2.5942e-03	2.2865e-03	6.7847e-03	1.6508e-03	1.5043e-03	9.7327e-02	4.0155e+03	1.8797e-07	1.5043e-03	
8.1000e-04	2.6773e-04	-2.3522e-05	5.3029e-05	-1.4643e-06	1.5550e-08	2.6441e-03	2.3617e-03	6.9514e-03	1.5550e-03	1.4054e-03	1.0650e-01	3.4092e+03	1.3727e-07	1.4054e-03	
9.1000e-04	2.7570e-04	-1.2830e-05	4.3814e-05	-1.4706e-06	1.4842e-08	2.6856e-03	2.4215e-03	7.0932e-03	1.4842e-03	1.3281e-03	1.1754e-01	2.9510e+03	1.0427e-07	1.3281e-03	
